name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Eggplant, raw",100 g,25,,0.98 g,5.88 g,0.18 g,3.0 g,3.53 g,0.034 g,0.016 g,Vegetables,Eggs (Vegetarian)
"Teff, uncooked",100 g,367,0.4g,13.30 g,73.13 g,2.38 g,8.0 g,1.84 g,0.449 g,0.589 g,Carbs,Other
"Sherbet, orange",100 g,144,1.2g,1.10 g,30.40 g,2.00 g,1.3 g,24.32 g,1.160 g,0.530 g,Carbs,Other
"Cauliflower, raw",100 g,25,0.1g,1.92 g,4.97 g,0.28 g,2.0 g,1.91 g,0.130 g,0.034 g,Vegetables,Vegetables (Vegan)
"Taro leaves, raw",100 g,42,0.2g,4.98 g,6.70 g,0.74 g,3.7 g,3.01 g,0.151 g,0.060 g,Vegetables,Vegetables (Vegan)
Vegetarian fillets,100 g,290,2.8g,23.00 g,9.00 g,18.00 g,6.1 g,0.80 g,2.849 g,4.376 g,Protein,Other
"Mango nectar, canned",100 g,51,,0.11 g,13.12 g,0.06 g,0.3 g,12.45 g,0.014 g,0.022 g,Fruits,Fruits (Vegan)
"Crackers, rusk toast",100 g,407,1.4g,13.50 g,72.30 g,7.20 g,0,0,1.376 g,2.755 g,Carbs,Other
"Chicken, boiled, feet",100 g,215,3.9g,19.40 g,0.20 g,14.60 g,0.0 g,0.00 g,3.920 g,5.500 g,Protein,Poultry
"Quail, raw, meat only",100 g,134,1.3g,21.76 g,0.00 g,4.53 g,0.0 g,0,1.320 g,1.280 g,Protein,Other
"Peppers, raw, jalapeno",100 g,29,0.1g,0.91 g,6.50 g,0.37 g,2.8 g,4.12 g,0.092 g,0.029 g,Vegetables,Vegetables (Vegan)
"Winged bean tuber, raw",100 g,148,0.2g,11.60 g,28.10 g,0.90 g,0,0,0.222 g,0.234 g,Carbs,Legumes (Vegan)
"Salami, turkey, cooked",100 g,172,2.8g,19.20 g,1.55 g,9.21 g,0.1 g,1.12 g,2.783 g,3.172 g,Protein,Poultry
"Grapes, raw, muscadine",100 g,57,,0.81 g,13.93 g,0.47 g,3.9 g,0,0,0,Mixed,Other
"Nuts, raw, ginkgo nuts",100 g,182,0.3g,4.32 g,37.60 g,1.68 g,0,0,0.319 g,0.619 g,Carbs,Nuts and Seeds (Vegan)
